Entity,Code,Year,Sector,Carbon dioxide emissions,
World,OWID_WRL,2020,Buildings,2709140000,
World,OWID_WRL,2020,Industry,1632640000,
World,OWID_WRL,2020,Land Use Change and Forestry,1172689900,
World,OWID_WRL,2020,Other Fuel Combustion,566789950,
World,OWID_WRL,2020,Transport,7098320000,
World,OWID_WRL,2020,Manufacturing and Construction,6180450300,
World,OWID_WRL,2020,Energy Production,268340000,
World,OWID_WRL,2020,Electricity and Heat,15110750000,
World,OWID_WRL,2020,Bunker Fuels,929240000,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,