Entity,Code,Year,Fugitive.emissions.of.methane.from.energy.production,Sector,Methane Emissions
World,OWID_WRL,2020,2948919800,Land Use Change and Forestry,110740000
World,OWID_WRL,2020,2948919800,Agriculture,3535190000
World,OWID_WRL,2020,2948919800,Waste,1507920000
World,OWID_WRL,2020,2948919800,Other Fuel Combustion,10130000
World,OWID_WRL,2020,2948919800,Industry,9190000
World,OWID_WRL,2020,2948919800,Buildings,234980000
World,OWID_WRL,2020,2948919800,Electricity and Heat,11980000
World,OWID_WRL,2020,2948919800,Manufacturing and Construction,16370001
World,OWID_WRL,2020,2948919800,Bunker Fuels,1500000
World,OWID_WRL,2020,2948919800,Transport,43230000